N,Optimal/Feasible,Time,Risk,Marginal
154,Optimal,8.84,43560,=D155 - D154
155,Optimal,6.64,44460,=D156 - D155
156,Optimal,7.98,45360,=D157 - D156
157,Optimal,7.75,46260,=D158 - D157
158,Optimal,8.84,47160,=D159 - D158
159,Optimal,7.17,48060,=D160 - D159
160,Optimal,7.19,49140,=D161 - D160
161,Optimal,13.30,50220,=D162 - D161
162,Optimal,18.84,51300,=D163 - D162
163,Optimal,10.78,52380,=D164 - D163
164,Optimal,14.86,53460,=D165 - D164
165,Optimal,20.00,54540,=D166 - D165
166,Optimal,17.97,55620,=D167 - D166
167,Optimal,15.98,56700,=D168 - D167
168,Optimal,13.81,57780,=D169 - D168
169,Optimal,17.11,58860,=D170 - D169
170,Optimal,19.00,59940,=D171 - D170
171,Optimal,14.94,61020,=D172 - D171
172,Optimal,16.52,62100,=D173 - D172
173,Optimal,16.86,63180,=D174 - D173
174,Optimal,13.33,64260,=D175 - D174
175,Optimal,17.98,65520,=D176 - D175
176,Optimal,15.03,66780,=D177 - D176
177,Optimal,8.86,68040,=D178 - D177
178,Optimal,8.94,69300,=D179 - D178
179,Optimal,9.05,70560,=D180 - D179
180,Optimal,8.00,71820,=D181 - D180
181,Optimal,8.48,73080,=D182 - D181
182,Optimal,6.55,74340,=D183 - D182
183,Optimal,8.47,75600,=D184 - D183
184,Optimal,7.00,76860,=D185 - D184
185,Optimal,8.44,78120,=D186 - D185
186,Optimal,7.39,79380,=D187 - D186
187,Optimal,6.52,80640,=D188 - D187
188,Optimal,7.30,81900,=D189 - D188
189,Optimal,8.56,83160,=D190 - D189
190,Optimal,9.03,84420,=D191 - D190
191,Optimal,9.69,85680,=D192 - D191
192,Optimal,8.02,86940,=D193 - D192
193,Optimal,6.98,88200,=D194 - D193
194,Optimal,9.17,89460,=D195 - D194
195,Optimal,6.61,90720,=D196 - D195
196,Optimal,8.17,91980,=D197 - D196
197,Optimal,3.64,93240,=D198 - D197
198,Optimal,2.70,94500,=D199 - D198
199,Optimal,1.59,95760,=D200 - D199
200,Optimal,0.69,97020,=D201 - D200
201,Optimal,2.03,98640,=D202 - D201
202,Optimal,2.66,100440,=D203 - D202
203,Optimal,3.47,102240,=D204 - D203
204,Optimal,2.92,104040,=D205 - D204
205,Optimal,2.05,105840,=D206 - D205
206,Optimal,2.59,107640,=D207 - D206
207,Optimal,1.31,109440,=D208 - D207
208,Optimal,3.91,111240,=D209 - D208
209,Optimal,2.38,113040,=D210 - D209
210,Optimal,5.98,114840,=D211 - D210
211,Optimal,5.80,116640,=D212 - D211
212,Optimal,3.13,118440,=D213 - D212
213,Optimal,10.66,120240,=D214 - D213
214,Optimal,0.66,122040,=D215 - D214
215,Optimal,0.36,124020,=D216 - D215
216,Optimal,0.92,126000,=D217 - D216
217,Optimal,0.89,127980,=D218 - D217
218,Optimal,0.11,129960,=D219 - D218
219,Optimal,0.11,131940,=D220 - D219
220,Optimal,0.13,133920,=D221 - D220
221,Optimal,0.16,135900,=D222 - D221
222,Optimal,0.11,137880,=D223 - D222
223,Optimal,0.13,139860,=D224 - D223
224,Optimal,0.13,141840,=D225 - D224
225,Optimal,0.16,143820,=D226 - D225
226,Optimal,0.03,145800,=D227 - D226
