N,Optimal/Feasible,Time,Risk,Marginal
179,Optimal,18.81,60300,=D180 - D179
180,Optimal,19.41,61380,=D181 - D180
181,Optimal,25.28,62460,=D182 - D181
182,Optimal,18.64,63540,=D183 - D182
183,Optimal,19.22,64800,=D184 - D183
184,Optimal,15.53,66060,=D185 - D184
185,Optimal,23.23,67320,=D186 - D185
186,Optimal,23.70,68580,=D187 - D186
187,Optimal,9.77,69840,=D188 - D187
188,Optimal,11.14,71100,=D189 - D188
189,Optimal,12.59,72360,=D190 - D189
190,Optimal,12.44,73620,=D191 - D190
191,Optimal,14.39,74880,=D192 - D191
192,Optimal,28.70,76140,=D193 - D192
193,Optimal,8.56,77400,=D194 - D193
194,Optimal,12.63,78660,=D195 - D194
195,Optimal,11.47,79920,=D196 - D195
196,Optimal,11.02,81180,=D197 - D196
197,Optimal,12.13,82440,=D198 - D197
198,Optimal,14.73,83700,=D199 - D198
199,Optimal,21.11,84960,=D200 - D199
200,Optimal,9.66,86220,=D201 - D200
201,Optimal,13.70,87480,=D202 - D201
202,Optimal,16.28,88740,=D203 - D202
203,Optimal,13.77,90000,=D204 - D203
204,Optimal,13.94,91260,=D205 - D204
205,Optimal,7.45,92520,=D206 - D205
206,Optimal,4.34,93780,=D207 - D206
207,Optimal,2.58,95040,=D208 - D207
208,Optimal,2.88,96300,=D209 - D208
209,Optimal,1.55,97740,=D210 - D209
210,Optimal,1.19,99180,=D211 - D210
211,Optimal,2.27,100620,=D212 - D211
212,Optimal,1.06,102060,=D213 - D212
213,Optimal,1.33,103500,=D214 - D213
214,Optimal,1.98,105120,=D215 - D214
215,Optimal,1.47,106740,=D216 - D215
216,Optimal,1.02,108540,=D217 - D216
217,Optimal,1.06,110340,=D218 - D217
218,Optimal,2.16,112140,=D219 - D218
219,Optimal,1.80,113940,=D220 - D219
220,Optimal,2.38,115740,=D221 - D220
221,Optimal,1.53,117540,=D222 - D221
222,Optimal,1.63,119340,=D223 - D222
223,Optimal,3.30,121140,=D224 - D223
224,Optimal,4.88,122940,=D225 - D224
225,Optimal,3.23,124740,=D226 - D225
226,Optimal,5.19,126540,=D227 - D226
227,Optimal,0.53,128340,=D228 - D227
228,Optimal,0.31,130320,=D229 - D228
229,Optimal,0.22,132300,=D230 - D229
230,Optimal,0.56,134280,=D231 - D230
231,Optimal,0.22,136260,=D232 - D231
232,Optimal,0.08,138240,=D233 - D232
233,Optimal,0.14,140220,=D234 - D233
234,Optimal,0.09,142200,=D235 - D234
235,Optimal,0.14,144180,=D236 - D235
236,Optimal,0.17,146160,=D237 - D236
237,Optimal,0.14,148140,=D238 - D237
238,Optimal,0.03,150120,=D239 - D238
