N,Optimal/Feasible,Time,Risk,Marginal
158,Optimal,21.97,11628,=D159 - D158
159,Optimal,23.91,11926,=D160 - D159
160,Optimal,22.22,12224,=D161 - D160
161,Optimal,16.83,12530,=D162 - D161
162,Optimal,21.44,12852,=D163 - D162
163,Optimal,22.86,13174,=D164 - D163
164,Optimal,26.00,13496,=D165 - D164
165,Optimal,30.70,13818,=D166 - D165
166,Optimal,28.13,14140,=D167 - D166
167,Optimal,23.75,14462,=D168 - D167
168,Optimal,18.80,14784,=D169 - D168
169,Optimal,23.23,15106,=D170 - D169
170,Optimal,16.84,15428,=D171 - D170
171,Optimal,20.56,15750,=D172 - D171
172,Optimal,17.50,16072,=D173 - D172
173,Optimal,19.64,16394,=D174 - D173
174,Optimal,15.92,16716,=D175 - D174
175,Optimal,15.59,17038,=D176 - D175
176,Optimal,13.58,17360,=D177 - D176
177,Optimal,17.52,17682,=D178 - D177
178,Optimal,20.06,18004,=D179 - D178
179,Optimal,15.44,18326,=D180 - D179
180,Optimal,17.14,18648,=D181 - D180
181,Optimal,14.09,18970,=D182 - D181
182,Optimal,14.08,19292,=D183 - D182
183,Optimal,17.22,19614,=D184 - D183
184,Optimal,14.75,19936,=D185 - D184
185,Optimal,13.30,20258,=D186 - D185
186,Optimal,10.39,20580,=D187 - D186
187,Optimal,6.17,20902,=D188 - D187
188,Optimal,7.09,21226,=D189 - D188
189,Optimal,3.86,21558,=D190 - D189
190,Optimal,5.17,21906,=D191 - D190
191,Optimal,4.97,22254,=D192 - D191
192,Optimal,4.19,22602,=D193 - D192
193,Optimal,4.75,22950,=D194 - D193
194,Optimal,3.97,23298,=D195 - D194
195,Optimal,3.31,23646,=D196 - D195
196,Optimal,2.78,23994,=D197 - D196
197,Optimal,3.67,24342,=D198 - D197
198,Optimal,2.86,24690,=D199 - D198
199,Optimal,2.05,25038,=D200 - D199
200,Optimal,2.89,25386,=D201 - D200
201,Optimal,3.63,25734,=D202 - D201
202,Optimal,2.23,26090,=D203 - D202
203,Optimal,2.56,26446,=D204 - D203
204,Optimal,2.83,26802,=D205 - D204
205,Optimal,1.95,27158,=D206 - D205
206,Optimal,2.52,27514,=D207 - D206
207,Optimal,2.02,27870,=D208 - D207
208,Optimal,2.03,28226,=D209 - D208
209,Optimal,2.77,28582,=D210 - D209
210,Optimal,1.41,28938,=D211 - D210
211,Optimal,1.48,29294,=D212 - D211
212,Optimal,1.44,29650,=D213 - D212
213,Optimal,0.23,30006,=D214 - D213
